merchan_id,avg_amount_days,transaction_amount,is_declined,number_declines_days,foreign_transaction,high_risk_countries,daily_chbk_avg_amt,6m_avg_chbk_amt,6m_chbk_freq,is_fradulent
3870243310,771.5095964,21602.2687,no,0,no,no,998,998,5,non-fraudulent
4948629322,865.32028,38074.09232,no,0,no,no,996,996,6,fraudulent
4225126900,86.35227213,2935.977252,no,0,no,no,993,992,7,fraudulent
5634640261,539.9713415,29158.45244,no,6,no,no,991,989,4,fraudulent
6257110788,533.949394,13348.73485,no,3,no,no,998,981,5,non-fraudulent
3576609711,206.9367032,5794.22769,no,0,no,no,992,975,5,non-fraudulent
3642050373,66.77655374,2804.615257,no,5,no,no,993,954,2,fraudulent
3405816400,804.7617661,42652.3736,no,0,no,no,953,950,8,fraudulent
6338071932,942.3427767,44290.1105,no,2,no,no,943,934,6,fraudulent
5202727146,699.5129575,25182.46647,no,0,no,no,939,931,1,fraudulent
6374053602,94.27628892,5373.748468,no,0,no,no,938,929,9,fraudulent
4348694075,270.2719797,16216.31878,no,0,no,no,991,914,7,fraudulent
3843922940,203.7188665,2444.626398,no,4,no,no,998,909,2,non-fraudulent
5636223113,845.1468507,16902.93701,no,6,no,no,973,901,3,non-fraudulent
6102845005,376.2691542,5644.037313,no,0,no,no,993,896,2,non-fraudulent
5425524255,186.3281183,10993.35898,no,0,no,no,942,891,6,fraudulent
3995706579,539.2368026,25883.36652,no,0,yes,no,964,890,6,fraudulent
4135098150,268.5412251,8593.319203,no,6,no,no,931,889,3,fraudulent
5116547959,657.5491567,30247.26121,no,0,no,no,894,883,8,fraudulent
6501157708,869.1134469,19120.49583,no,0,no,no,957,874,2,non-fraudulent
5834584709,540.2876139,7564.026595,no,4,no,no,990,870,9,non-fraudulent
4911008056,103.7382823,2800.933622,no,0,no,no,869,860,2,non-fraudulent
6177585619,519.3985865,16101.35618,no,5,yes,yes,987,859,3,fraudulent
4084592872,610.5646704,29307.10418,no,9,yes,no,995,846,4,fraudulent
5021193586,21.17863641,63.53590923,no,1,no,no,859,845,3,non-fraudulent
3714929449,495.7634253,0,no,0,no,no,942,843,1,non-fraudulent
3450127241,780.688498,36692.35941,no,0,yes,no,896,839,6,fraudulent
6487405222,302.5597406,17548.46495,no,0,no,no,941,826,9,fraudulent
6462110958,680.6580096,10890.52815,no,0,no,no,822,820,1,non-fraudulent
4838852609,981.1519167,48076.44392,no,0,no,no,955,816,8,fraudulent
6455635890,705.8118035,41642.89641,no,0,no,no,940,815,6,fraudulent
4361561414,610.6882758,16488.58345,no,0,no,no,891,814,1,non-fraudulent
3541182255,724.0674699,43444.04819,no,0,no,no,877,814,7,fraudulent
3365355395,806.1795426,23379.20674,no,0,no,no,816,811,5,fraudulent
4323198342,95.18837896,2094.144337,no,3,no,no,970,802,2,non-fraudulent
5701321540,31.98313625,767.59527,no,0,no,no,960,797,1,non-fraudulent
4904107914,447.586003,11189.65008,no,0,no,no,957,797,1,non-fraudulent
5300196133,143.8800343,2014.32048,no,1,no,no,889,797,2,non-fraudulent
5508434208,212.6425076,8293.057796,no,0,no,no,801,789,9,fraudulent
3359515389,738.8735633,15516.34483,no,0,yes,no,918,781,2,non-fraudulent
4931552646,782.6385798,14087.49444,no,0,no,no,819,781,2,non-fraudulent
6080895069,666.0617481,21313.97594,no,8,no,no,939,767,3,fraudulent
6392329354,989.7481646,30682.1931,no,0,yes,yes,982,764,6,fraudulent
5121812372,450.4208559,17566.41338,no,0,yes,no,833,761,7,fraudulent
3641844855,345.2290256,13118.70297,no,0,yes,no,970,758,3,fraudulent
5347145202,584.9725991,584.9725991,no,0,no,no,867,758,3,non-fraudulent
4697435045,53.24329132,851.8926611,no,4,yes,no,995,755,3,non-fraudulent
